SYS_FIELD_NAME,FIELD_DESC
DAY_OF_MONTH,Day of Month
DAY_OF_WEEK,Day of Week
FL_DATE,Flight Date (yyyymmdd)
MKT_UNIQUE_CARRIER,"Unique Marketing Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years."
OP_CARRIER_FL_NUM,Flight Number
ORIGIN_AIRPORT_ID,"Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
ORIGIN_CITY_NAME,"Origin Airport, City Name"
ORIGIN_STATE_NM,"Origin Airport, State Name"
DEST_AIRPORT_ID,"Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
DEST_CITY_NAME,"Destination Airport, City Name"
DEST_STATE_NM,"Destination Airport, State Name"
DEP_TIME,Actual Departure Time (local time: hhmm)
DEP_DELAY,Difference in minutes between scheduled and actual departure time. Early departures show negative numbers.
DEP_DELAY_NEW,Difference in minutes between scheduled and actual departure time. Early departures set to 0.
DEP_DEL15,"Departure Delay Indicator, 15 Minutes or More (1=Yes)"
DEP_DELAY_GROUP,"Departure Delay intervals, every (15 minutes from <-15 to >180)"
ARR_TIME,Actual Arrival Time (local time: hhmm)
ARR_DELAY,Difference in minutes between scheduled and actual arrival time. Early arrivals show negative numbers.
ARR_DELAY_NEW,Difference in minutes between scheduled and actual arrival time. Early arrivals set to 0.
ARR_DEL15,"Arrival Delay Indicator, 15 Minutes or More (1=Yes)"
ARR_DELAY_GROUP,"Arrival Delay intervals, every (15-minutes from <-15 to >180)"
CANCELLED,Cancelled Flight Indicator (1=Yes)
CANCELLATION_CODE,Specifies The Reason For Cancellation
CARRIER_DELAY,"Carrier Delay, in Minutes"
WEATHER_DELAY,"Weather Delay, in Minutes"
NAS_DELAY,"National Air System Delay, in Minutes"
SECURITY_DELAY,"Security Delay, in Minutes"
LATE_AIRCRAFT_DELAY,"Late Aircraft Delay, in Minutes"
