MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1,7,1/1/2023 12:00:00 AM,9E,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",600,1.0,825,-9.0,0.0,0.0,692.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,9E,ABY,"Albany, GA",ATL,"Atlanta, GA",736,-12.0,844,0.0,0.0,0.0,145.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,9E,ABY,"Albany, GA",ATL,"Atlanta, GA",1255,-10.0,1355,-11.0,0.0,0.0,145.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,9E,AEX,"Alexandria, LA",ATL,"Atlanta, GA",1150,425.0,1433,427.0,0.0,0.0,500.0,0.0,83.0,2.0,0.0,342.0
1,1,7,1/1/2023 12:00:00 AM,9E,AEX,"Alexandria, LA",ATL,"Atlanta, GA",1748,91.0,2037,72.0,0.0,0.0,500.0,11.0,0.0,0.0,0.0,61.0
1,1,7,1/1/2023 12:00:00 AM,9E,AGS,"Augusta, GA",ATL,"Atlanta, GA",1745,-4.0,1855,-22.0,0.0,0.0,143.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,9E,ALB,"Albany, NY",DTW,"Detroit, MI",545,307.0,755,288.0,0.0,0.0,489.0,0.0,0.0,0.0,0.0,288.0
1,1,7,1/1/2023 12:00:00 AM,9E,ALB,"Albany, NY",DTW,"Detroit, MI",1230,31.0,1436,14.0,0.0,0.0,489.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,9E,ALB,"Albany, NY",LGA,"New York, NY",825,-2.0,939,-28.0,0.0,0.0,136.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,9E,ATL,"Atlanta, GA",ABE,"Allentown/Bethlehem/Easton, PA",2156,-5.0,2349,-1.0,0.0,0.0,692.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,9E,ATL,"Atlanta, GA",ABY,"Albany, GA",1110,-5.0,1210,-6.0,0.0,0.0,145.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,9E,ATL,"Atlanta, GA",ABY,"Albany, GA",1920,8.0,2016,-3.0,0.0,0.0,145.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,9E,ATL,"Atlanta, GA",AEX,"Alexandria, LA",1010,6.0,1105,,0.0,1.0,500.0,,,,,
