ORIGIN,ORIGIN_CITY_NAME,total_flights,delayed_flights,delay_rate
EUG,"Eugene, OR",2,2,100.0
JAC,"Jackson, WY",3,3,100.0
ECP,"Panama City, FL",1,1,100.0
AEX,"Alexandria, LA",2,2,100.0
CSG,"Columbus, GA",2,2,100.0
BQK,"Brunswick, GA",2,2,100.0
CRW,"Charleston/Dunbar, WV",2,2,100.0
BTR,"Baton Rouge, LA",2,2,100.0
SLC,"Salt Lake City, UT",9,8,88.89
BOI,"Boise, ID",4,3,75.0
FAT,"Fresno, CA",3,2,66.67
PDX,"Portland, OR",6,4,66.67
PSP,"Palm Springs, CA",5,3,60.0
RNO,"Reno, NV",4,2,50.0
SBP,"San Luis Obispo, CA",2,1,50.0
BZN,"Bozeman, MT",2,1,50.0
CAE,"Columbia, SC",2,1,50.0
MYR,"Myrtle Beach, SC",2,1,50.0
MTJ,"Montrose/Delta, CO",2,1,50.0
GTR,"Columbus, MS",2,1,50.0
MDW,"Chicago, IL",4,2,50.0
CHO,"Charlottesville, VA",2,1,50.0
SHV,"Shreveport, LA",2,1,50.0
AMA,"Amarillo, TX",2,1,50.0
BFL,"Bakersfield, CA",2,1,50.0
GNV,"Gainesville, FL",2,1,50.0
DLH,"Duluth, MN",2,1,50.0
BUR,"Burbank, CA",4,2,50.0
MLU,"Monroe, LA",2,1,50.0
PHX,"Phoenix, AZ",113,50,44.25
DSM,"Des Moines, IA",10,4,40.0
GRR,"Grand Rapids, MI",5,2,40.0
SEA,"Seattle, WA",14,5,35.71
MSY,"New Orleans, LA",17,6,35.29
KOA,"Kona, HI",3,1,33.33
LAS,"Las Vegas, NV",33,11,33.33
SBA,"Santa Barbara, CA",3,1,33.33
SJC,"San Jose, CA",3,1,33.33
BHM,"Birmingham, AL",3,1,33.33
DEN,"Denver, CO",22,7,31.82
SJU,"San Juan, PR",13,4,30.77
OKC,"Oklahoma City, OK",7,2,28.57
OMA,"Omaha, NE",7,2,28.57
ONT,"Ontario, CA",7,2,28.57
BUF,"Buffalo, NY",7,2,28.57
ELP,"El Paso, TX",4,1,25.0
IAD,"Washington, DC",4,1,25.0
ICT,"Wichita, KS",4,1,25.0
RIC,"Richmond, VA",8,2,25.0
PWM,"Portland, ME",4,1,25.0
SAN,"San Diego, CA",20,5,25.0
PNS,"Pensacola, FL",4,1,25.0
LEX,"Lexington, KY",4,1,25.0
PHL,"Philadelphia, PA",102,25,24.51
LAX,"Los Angeles, CA",78,19,24.36
MCI,"Kansas City, MO",13,3,23.08
CMH,"Columbus, OH",9,2,22.22
SNA,"Santa Ana, CA",14,3,21.43
AUS,"Austin, TX",38,8,21.05
GSP,"Greer, SC",5,1,20.0
SDF,"Louisville, KY",5,1,20.0
ROC,"Rochester, NY",5,1,20.0
CID,"Cedar Rapids/Iowa City, IA",5,1,20.0
MSN,"Madison, WI",5,1,20.0
ALB,"Albany, NY",5,1,20.0
ORD,"Chicago, IL",123,24,19.51
ATL,"Atlanta, GA",78,15,19.23
MIA,"Miami, FL",136,25,18.38
SFO,"San Francisco, CA",22,4,18.18
SAT,"San Antonio, TX",17,3,17.65
EGE,"Eagle, CO",6,1,16.67
IND,"Indianapolis, IN",12,2,16.67
TYS,"Knoxville, TN",6,1,16.67
DFW,"Dallas/Fort Worth, TX",362,59,16.3
JAX,"Jacksonville, FL",13,2,15.38
CHS,"Charleston, SC",13,2,15.38
CLT,"Charlotte, NC",286,44,15.38
ILM,"Wilmington, NC",7,1,14.29
SAV,"Savannah, GA",7,1,14.29
PVD,"Providence, RI",7,1,14.29
PIT,"Pittsburgh, PA",15,2,13.33
PBI,"West Palm Beach/Palm Beach, FL",15,2,13.33
FLL,"Fort Lauderdale, FL",16,2,12.5
EWR,"Newark, NJ",17,2,11.76
BWI,"Baltimore, MD",9,1,11.11
MSP,"Minneapolis, MN",32,3,9.38
MCO,"Orlando, FL",46,4,8.7
BNA,"Nashville, TN",23,2,8.7
IAH,"Houston, TX",14,1,7.14
CVG,"Cincinnati, OH",14,1,7.14
RSW,"Fort Myers, FL",15,1,6.67
RDU,"Raleigh/Durham, NC",32,2,6.25
LGA,"New York, NY",73,4,5.48
BOS,"Boston, MA",37,2,5.41
JFK,"New York, NY",58,3,5.17
DCA,"Washington, DC",68,3,4.41
DTW,"Detroit, MI",54,2,3.7
HDN,"Hayden, CO",2,0,0.0
HNL,"Honolulu, HI",8,0,0.0
GEG,"Spokane, WA",2,0,0.0
GUC,"Gunnison, CO",1,0,0.0
GSO,"Greensboro/High Point, NC",4,0,0.0
EYW,"Key West, FL",7,0,0.0
SMF,"Sacramento, CA",7,0,0.0
ORF,"Norfolk, VA",10,0,0.0
STL,"St. Louis, MO",6,0,0.0
SRQ,"Sarasota/Bradenton, FL",5,0,0.0
COS,"Colorado Springs, CO",2,0,0.0
DAB,"Daytona Beach, FL",3,0,0.0
CLE,"Cleveland, OH",10,0,0.0
MEM,"Memphis, TN",12,0,0.0
MFE,"Mission/McAllen/Edinburg, TX",4,0,0.0
LIH,"Lihue, HI",3,0,0.0
MDT,"Harrisburg, PA",3,0,0.0
MKE,"Milwaukee, WI",8,0,0.0
LIT,"Little Rock, AR",2,0,0.0
OGG,"Kahului, HI",7,0,0.0
MSO,"Missoula, MT",1,0,0.0
EVV,"Evansville, IN",2,0,0.0
AVL,"Asheville, NC",4,0,0.0
SGF,"Springfield, MO",1,0,0.0
ABQ,"Albuquerque, NM",5,0,0.0
GPT,"Gulfport/Biloxi, MS",1,0,0.0
GRB,"Green Bay, WI",3,0,0.0
ANC,"Anchorage, AK",1,0,0.0
SYR,"Syracuse, NY",4,0,0.0
XNA,"Fayetteville, AR",2,0,0.0
ABE,"Allentown/Bethlehem/Easton, PA",1,0,0.0
VLD,"Valdosta, GA",2,0,0.0
BGR,"Bangor, ME",2,0,0.0
CWA,"Mosinee, WI",1,0,0.0
CHA,"Chattanooga, TN",1,0,0.0
HPN,"White Plains, NY",1,0,0.0
MGM,"Montgomery, AL",3,0,0.0
AZO,"Kalamazoo, MI",2,0,0.0
BDL,"Hartford, CT",7,0,0.0
ABY,"Albany, GA",2,0,0.0
LAN,"Lansing, MI",2,0,0.0
FSD,"Sioux Falls, SD",2,0,0.0
LSE,"La Crosse, WI",1,0,0.0
TVC,"Traverse City, MI",3,0,0.0
MOT,"Minot, ND",1,0,0.0
MOB,"Mobile, AL",3,0,0.0
AGS,"Augusta, GA",1,0,0.0
MQT,"Marquette, MI",1,0,0.0
DHN,"Dothan, AL",2,0,0.0
