ORIGIN,ORIGIN_CITY_NAME,total_flights,delayed_flights,delay_rate
BZN,"Bozeman, MT",2,1,50.0
CAE,"Columbia, SC",2,1,50.0
DEN,"Denver, CO",22,7,31.82
CID,"Cedar Rapids/Iowa City, IA",4,1,25.0
CMH,"Columbus, OH",9,2,22.22
CHS,"Charleston, SC",11,2,18.18
DFW,"Dallas/Fort Worth, TX",72,13,18.06
CVG,"Cincinnati, OH",6,1,16.67
CLT,"Charlotte, NC",285,44,15.44
DCA,"Washington, DC",68,3,4.41
COS,"Colorado Springs, CO",2,0,0.0
BWI,"Baltimore, MD",7,0,0.0
DAB,"Daytona Beach, FL",3,0,0.0
CLE,"Cleveland, OH",7,0,0.0
