ORIGIN,ORIGIN_CITY_NAME,total_flights,delayed_flights,delay_rate
EUG,"Eugene, OR",2,2,100.0
JAC,"Jackson, WY",3,3,100.0
ECP,"Panama City, FL",1,1,100.0
FAT,"Fresno, CA",3,2,66.67
DSM,"Des Moines, IA",7,4,57.14
GRR,"Grand Rapids, MI",5,2,40.0
ICT,"Wichita, KS",3,1,33.33
KOA,"Kona, HI",3,1,33.33
LAS,"Las Vegas, NV",26,7,26.92
ELP,"El Paso, TX",4,1,25.0
IAD,"Washington, DC",4,1,25.0
GSP,"Greer, SC",4,1,25.0
IND,"Indianapolis, IN",11,2,18.18
EGE,"Eagle, CO",6,1,16.67
DFW,"Dallas/Fort Worth, TX",290,46,15.86
JAX,"Jacksonville, FL",13,2,15.38
FLL,"Fort Lauderdale, FL",16,2,12.5
EWR,"Newark, NJ",17,2,11.76
JFK,"New York, NY",32,3,9.38
IAH,"Houston, TX",14,1,7.14
DTW,"Detroit, MI",9,0,0.0
HDN,"Hayden, CO",2,0,0.0
HNL,"Honolulu, HI",8,0,0.0
GEG,"Spokane, WA",2,0,0.0
GUC,"Gunnison, CO",1,0,0.0
GSO,"Greensboro/High Point, NC",4,0,0.0
ILM,"Wilmington, NC",4,0,0.0
EYW,"Key West, FL",6,0,0.0
