ORIGIN,ORIGIN_CITY_NAME,total_flights,delayed_flights,delay_rate
LAS,"Las Vegas, NV",7,4,57.14
MYR,"Myrtle Beach, SC",2,1,50.0
MTJ,"Montrose/Delta, CO",2,1,50.0
MSY,"New Orleans, LA",15,6,40.0
OMA,"Omaha, NE",6,2,33.33
OKC,"Oklahoma City, OK",7,2,28.57
ONT,"Ontario, CA",7,2,28.57
MCI,"Kansas City, MO",12,3,25.0
LAX,"Los Angeles, CA",78,19,24.36
MSN,"Madison, WI",5,1,20.0
MIA,"Miami, FL",135,25,18.52
ORD,"Chicago, IL",85,14,16.47
MSP,"Minneapolis, MN",9,1,11.11
MCO,"Orlando, FL",46,4,8.7
LGA,"New York, NY",48,3,6.25
MEM,"Memphis, TN",10,0,0.0
MFE,"Mission/McAllen/Edinburg, TX",4,0,0.0
LIH,"Lihue, HI",3,0,0.0
MDT,"Harrisburg, PA",3,0,0.0
MKE,"Milwaukee, WI",6,0,0.0
LIT,"Little Rock, AR",2,0,0.0
OGG,"Kahului, HI",7,0,0.0
MSO,"Missoula, MT",1,0,0.0
