ORIGIN,ORIGIN_CITY_NAME,total_flights,delayed_flights,delay_rate
SLC,"Salt Lake City, UT",9,8,88.89
PDX,"Portland, OR",6,4,66.67
PSP,"Palm Springs, CA",5,3,60.0
RNO,"Reno, NV",4,2,50.0
SBP,"San Luis Obispo, CA",2,1,50.0
PHX,"Phoenix, AZ",113,50,44.25
SEA,"Seattle, WA",14,5,35.71
SBA,"Santa Barbara, CA",3,1,33.33
SJC,"San Jose, CA",3,1,33.33
SJU,"San Juan, PR",13,4,30.77
ORD,"Chicago, IL",37,10,27.03
SDF,"Louisville, KY",4,1,25.0
RIC,"Richmond, VA",8,2,25.0
SAN,"San Diego, CA",20,5,25.0
PVD,"Providence, RI",4,1,25.0
PNS,"Pensacola, FL",4,1,25.0
PHL,"Philadelphia, PA",101,25,24.75
SNA,"Santa Ana, CA",14,3,21.43
SAV,"Savannah, GA",5,1,20.0
SFO,"San Francisco, CA",22,4,18.18
SAT,"San Antonio, TX",17,3,17.65
PIT,"Pittsburgh, PA",14,2,14.29
PBI,"West Palm Beach/Palm Beach, FL",15,2,13.33
RSW,"Fort Myers, FL",15,1,6.67
RDU,"Raleigh/Durham, NC",24,1,4.17
SMF,"Sacramento, CA",7,0,0.0
PWM,"Portland, ME",2,0,0.0
ORF,"Norfolk, VA",7,0,0.0
STL,"St. Louis, MO",2,0,0.0
ROC,"Rochester, NY",1,0,0.0
SRQ,"Sarasota/Bradenton, FL",5,0,0.0
