MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1,7,1/1/2023 12:00:00 AM,AA,BWI,"Baltimore, MD",CLT,"Charlotte, NC",1149,-6.0,1324,-18.0,0.0,0.0,361.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,BWI,"Baltimore, MD",CLT,"Charlotte, NC",1730,-10.0,1904,-6.0,0.0,0.0,361.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,BWI,"Baltimore, MD",DFW,"Dallas/Fort Worth, TX",630,2.0,920,-19.0,0.0,0.0,1217.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,BWI,"Baltimore, MD",DFW,"Dallas/Fort Worth, TX",1515,-4.0,1756,-30.0,0.0,0.0,1217.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,BWI,"Baltimore, MD",DFW,"Dallas/Fort Worth, TX",1904,-9.0,2145,-30.0,0.0,0.0,1217.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,BWI,"Baltimore, MD",MIA,"Miami, FL",605,-1.0,902,-7.0,0.0,0.0,946.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,BWI,"Baltimore, MD",ORD,"Chicago, IL",712,-8.0,830,-20.0,0.0,0.0,622.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,BZN,"Bozeman, MT",DFW,"Dallas/Fort Worth, TX",700,9.0,1116,16.0,0.0,0.0,1163.0,9.0,0.0,7.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,BZN,"Bozeman, MT",DFW,"Dallas/Fort Worth, TX",1347,-3.0,1750,3.0,0.0,0.0,1163.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CAE,"Columbia, SC",DFW,"Dallas/Fort Worth, TX",700,44.0,859,30.0,0.0,0.0,922.0,30.0,0.0,0.0,0.0,0.0
